ID,path,num_shapes
1,/train_images/train_1.png,1
2,/train_images/train_2.png,7
3,/train_images/train_3.png,10
4,/train_images/train_4.png,1
5,/train_images/train_5.png,4
6,/train_images/train_6.png,12
7,/train_images/train_7.png,8
8,/train_images/train_8.png,4
9,/train_images/train_9.png,9
10,/train_images/train_10.png,0
11,/train_images/train_11.png,6
12,/train_images/train_12.png,0
13,/train_images/train_13.png,14
14,/train_images/train_14.png,2
15,/train_images/train_15.png,7
16,/train_images/train_16.png,13
17,/train_images/train_17.png,2
18,/train_images/train_18.png,11
19,/train_images/train_19.png,15
20,/train_images/train_20.png,4
21,/train_images/train_21.png,9
22,/train_images/train_22.png,3
23,/train_images/train_23.png,13
24,/train_images/train_24.png,6
25,/train_images/train_25.png,1
26,/train_images/train_26.png,8
27,/train_images/train_27.png,4
28,/train_images/train_28.png,1
29,/train_images/train_29.png,13
30,/train_images/train_30.png,1
31,/train_images/train_31.png,9
32,/train_images/train_32.png,3
33,/train_images/train_33.png,2
34,/train_images/train_34.png,11
35,/train_images/train_35.png,12
36,/train_images/train_36.png,1
37,/train_images/train_37.png,8
38,/train_images/train_38.png,5
39,/train_images/train_39.png,15
40,/train_images/train_40.png,9
41,/train_images/train_41.png,15
42,/train_images/train_42.png,7
43,/train_images/train_43.png,4
44,/train_images/train_44.png,1
45,/train_images/train_45.png,3
46,/train_images/train_46.png,2
47,/train_images/train_47.png,15
48,/train_images/train_48.png,12
49,/train_images/train_49.png,11
50,/train_images/train_50.png,6
51,/train_images/train_51.png,3
52,/train_images/train_52.png,15
53,/train_images/train_53.png,13
54,/train_images/train_54.png,14
55,/train_images/train_55.png,8
56,/train_images/train_56.png,9
57,/train_images/train_57.png,3
58,/train_images/train_58.png,4
59,/train_images/train_59.png,12
60,/train_images/train_60.png,4
61,/train_images/train_61.png,4
62,/train_images/train_62.png,8
63,/train_images/train_63.png,5
64,/train_images/train_64.png,8
65,/train_images/train_65.png,8
66,/train_images/train_66.png,11
67,/train_images/train_67.png,15
68,/train_images/train_68.png,13
69,/train_images/train_69.png,8
70,/train_images/train_70.png,1
71,/train_images/train_71.png,0
72,/train_images/train_72.png,12
